wav_filename,transcript,duration
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an121-fjdn-b.wav,HELP,0.7
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an122-fjdn-b.wav,ENTER EIGHT TWO FOUR TWO,1.6
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an123-fjdn-b.wav,ENTER FIFTY FOUR,1.3
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an124-fjdn-b.wav,RUBOUT O Q I M I THIRTY TWO,2.7
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an125-fjdn-b.wav,ENTER FIFTEEN,1.1
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an126-mcen-b.wav,START,0.9
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an127-mcen-b.wav,REPEAT,1.0
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an128-mcen-b.wav,RUBOUT I T D K M FOUR SEVENTY ONE,4.0
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an129-mcen-b.wav,ENTER SIXTY,1.5
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an130-mcen-b.wav,HELP,0.7
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an131-fkdo-b.wav,RUBOUT W L F X Y SEVEN OH SIX NINE,6.0
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an132-fkdo-b.wav,GO,1.6
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an133-fkdo-b.wav,REPEAT,1.1
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an134-fkdo-b.wav,STOP,1.3
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an135-fkdo-b.wav,RUBOUT U T F F EIGHT,2.8
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an136-meab-b.wav,ERASE W E S F TWENTY FOUR OH THREE,4.3
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an137-meab-b.wav,RUBOUT G U K E V NINE,4.2
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an138-meab-b.wav,J Z A P SEVENTEEN,2.9
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an139-meab-b.wav,ENTER EIGHT THIRTY TWO,2.3
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an140-meab-b.wav,RUBOUT R E F V S ONE FIVE THREE THREE,5.8
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an141-mcrt-b.wav,NO,0.9
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an142-mcrt-b.wav,ENTER NINETY FOUR,2.0
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an143-mcrt-b.wav,HELP,1.1
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an144-mcrt-b.wav,RUBOUT F B M J SEVEN TEN,4.0
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an145-mcrt-b.wav,ENTER SIX,1.9
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an147-fclc-b.wav,Q E E A SIX,2.9
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an148-fclc-b.wav,ERASE O J T K S THIRTY FIVE,4.0
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an149-fclc-b.wav,ENTER NINE EIGHTY NINE,2.3
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an150-fclc-b.wav,ERASE C K C W FOURTEEN EIGHTY FIVE,4.3
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an151-mwhw-b.wav,H A H L E FOUR NINETY ONE,3.1
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an152-mwhw-b.wav,START,1.0
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an153-mwhw-b.wav,Y D N E D FORTY SEVEN,2.9
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an154-mwhw-b.wav,RUBOUT P O O B EIGHT,2.9
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an155-mwhw-b.wav,ENTER SIXTY,1.4
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an156-mjes-b.wav,ERASE Q K X Y U ONE SIXTY TWO,3.2
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an157-mjes-b.wav,ENTER THIRTY SEVEN,1.3
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an158-mjes-b.wav,RUBOUT V E W Z SEVEN SEVENTY TWO,3.4
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an159-mjes-b.wav,STOP,0.8
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an16-mjdr-b.wav,E M B Z SIX EIGHT SIX,2.7
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an160-mjes-b.wav,J C H E Q FIFTY EIGHT THOUSAND NINE THIRTY NINE,3.8
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an161-mfaa-b.wav,H P D F T SIXTY THREE,2.6
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an165-mfaa-b.wav,Y F J K TWO EIGHT,2.8
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an166-fsrb-b.wav,A A I L ZERO,2.5
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an167-fsrb-b.wav,ENTER FORTY SEVEN FORTY SEVEN,2.6
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an168-fsrb-b.wav,RUBOUT L D R W TWENTY SIX,3.5
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an169-fsrb-b.wav,ENTER SIXTY ONE,1.6
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an170-fsrb-b.wav,ENTER FOUR FIFTY SIX,2.5
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an171-mjda-b.wav,RUBOUT U G A M THIRTY NINE,3.7
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an172-mjda-b.wav,ENTER EIGHT SEVENTY ONE,2.2
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an173-mjda-b.wav,RUBOUT C T L E SEVENTY SIX TWELVE,3.1
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an175-mjda-b.wav,HELP,0.8
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an177-mjjs2-b.wav,START,1.3
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an178-mjjs2-b.wav,NO,0.8
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an179-mjjs2-b.wav,ERASE Q E J Q T SEVENTY SEVEN,5.1
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an180-mjjs2-b.wav,YES,1.0
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an181-fnsv-b.wav,A V M U FOUR FORTY TWO,3.3
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an182-fnsv-b.wav,REPEAT,1.3
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an183-fnsv-b.wav,O L K F FIVE FORTY FIVE,3.6
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an184-fnsv-b.wav,NO,0.9
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an185-fnsv-b.wav,HELP,1.0
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an186-mkem-b.wav,ERASE V R F O FIVE,3.2
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an187-mkem-b.wav,ENTER ONE THIRTY ONE,1.7
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an188-mkem-b.wav,U S I Q N SEVENTY ONE,2.5
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an189-mkem-b.wav,STOP,1.0
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an19-mjdr-b.wav,RUBOUT O H G P D TWO NINE SEVEN SIX,4.1
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an190-mkem-b.wav,RUBOUT U J M K NINE,2.7
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an191-fmjd-b.wav,NO,0.9
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an192-fmjd-b.wav,ERASE E O A C U THREE,4.2
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an193-fmjd-b.wav,ERASE Y B E J Q FIVE OH SEVEN,4.3
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an194-fmjd-b.wav,P T Q D Q ONE,2.7
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an195-fmjd-b.wav,I D M H SEVEN EIGHT FIVE,3.2
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an196-mgah-b.wav,ENTER SEVENTY ONE,2.0
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an197-mgah-b.wav,ENTER FOUR TWENTY ONE,2.1
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an198-mgah-b.wav,ENTER ONE NINETY SIX,2.4
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an199-mgah-b.wav,NO,1.0
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an20-mjdr-b.wav,A T T G K EIGHTY FOUR,2.9
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an200-mgah-b.wav,START,1.0
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an201-mcel-b.wav,STOP,1.1
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an203-mcel-b.wav,ENTER EIGHT ONE NINE SIX,2.5
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an204-mcel-b.wav,START,1.0
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an205-mcel-b.wav,RUBOUT F Y N P NINETY SEVEN,3.6
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an206-mdmc-b.wav,RUBOUT Z O T F TWO,3.3
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an207-mdmc-b.wav,RUBOUT H F D W Q SIX TWO TWO,4.6
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an208-mdmc-b.wav,RUBOUT N B A K NINETY SIX,3.8
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an209-mdmc-b.wav,R G C S SEVEN SIXTY SEVEN,3.1
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an21-flrp-b.wav,S Z K W W TWO THIRTY SEVEN,4.1
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an210-mdmc-b.wav,RUBOUT Z G D R G NINE NINE FOUR SIX,5.1
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an211-ftmj-b.wav,ENTER SIXTY SIX,2.1
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an212-ftmj-b.wav,L Z R V FIFTY FIVE THIRTY FIVE,3.8
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an2121-flrp-b.wav,Z C B E G SEVENTY NINE,3.2
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an213-ftmj-b.wav,RUBOUT P N A M X SEVENTY TWO,4.0
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an214-ftmj-b.wav,ENTER SEVEN,1.4
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an215-ftmj-b.wav,YES,1.1
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an216-mjgk-b.wav,V E R K E THIRTY FIVE THIRTY,2.6
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an218-mjgk-b.wav,STOP,0.9
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an219-mjgk-b.wav,GO,0.8
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an22-flrp-b.wav,YES,1.0
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an220-mjgk-b.wav,ENTER THREE EIGHTY SIX,1.7
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an221-fwxs-b.wav,G L L K H ONE,3.2
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an222-fwxs-b.wav,HELP,0.9
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an223-fwxs-b.wav,HELP,1.0
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an224-fwxs-b.wav,J V P E EIGHT SEVEN ZERO,3.2
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an225-fwxs-b.wav,YES,1.0
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an226-msjm-b.wav,REPEAT,0.9
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an227-msjm-b.wav,F I Y Q FIFTY SIX,2.7
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an228-msjm-b.wav,ERASE G W D K F SIX EIGHTY EIGHT,3.6
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an229-msjm-b.wav,REPEAT,0.9
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an230-msjm-b.wav,STOP,1.0
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an232-mcsc-b.wav,HELP,0.9
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an234-mcsc-b.wav,REPEAT,1.0
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an235-mcsc-b.wav,NO,0.8
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an237-mrjc2-b.wav,ENTER SEVEN,1.4
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an238-mrjc2-b.wav,STOP,0.8
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an239-mrjc2-b.wav,D Y M H R SIXTY ONE,2.8
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an24-flrp-b.wav,REPEAT,0.9
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an240-mrjc2-b.wav,ENTER NINE SEVENTY TWO,2.1
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an241-mdcs-b.wav,ENTER FIFTY SIXTY THREE,2.4
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an243-mdcs-b.wav,REPEAT,0.9
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an244-mdcs-b.wav,L R R K I FOUR,2.5
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an245-mdcs-b.wav,RUBOUT U F Z Z SIXTY NINE,2.6
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an246-mjbh-b.wav,HELP,0.9
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an248-mjbh-b.wav,X Z I V Y ONE,2.1
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an249-mjbh-b.wav,STOP,0.9
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an25-flrp-b.wav,RUBOUT O G D E FOUR SEVEN FIVE SEVEN,4.4
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an250-mjbh-b.wav,YES,0.9
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an251-fash-b.wav,YES,1.0
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an253-fash-b.wav,GO,0.7
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an254-fash-b.wav,YES,0.9
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an256-mewl-b.wav,NO,0.8
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an257-mewl-b.wav,RUBOUT H W O N J FOUR THOUSAND SEVEN HUNDRED TWENTY THREE,6.1
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an258-mewl-b.wav,ENTER FOURTEEN,2.2
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an259-mewl-b.wav,REPEAT,1.4
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an26-mdxs-b.wav,YES,1.2
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an260-mewl-b.wav,B A I Q W EIGHT,3.6
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an262-mcfl-b.wav,I P A C F TWO FIVE EIGHT,3.5
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an263-mcfl-b.wav,RUBOUT I R D D J ONE,3.8
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an265-mcfl-b.wav,YES,1.0
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an266-mbmg-b.wav,ENTER FIFTY FOUR,1.7
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an267-mbmg-b.wav,S U O U EIGHTY SIX,3.4
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an268-mbmg-b.wav,ERASE S V N Y TEN TEN,4.0
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an269-mbmg-b.wav,RUBOUT C H Y D D OH,4.0
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an27-mdxs-b.wav,X H B A C FIVE THREE FOUR FOUR,4.9
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an276-msmn-b.wav,G W N L L NINE FOUR,2.9
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an277-msmn-b.wav,NO,0.9
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an278-msmn-b.wav,RUBOUT Q N R A J SEVEN FOUR EIGHT,4.1
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an279-msmn-b.wav,Q C J K EIGHT FIVE EIGHT,2.9
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an28-mdxs-b.wav,START,1.1
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an281-mrmg-b.wav,ENTER TWO,1.4
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an282-mrmg-b.wav,GO,1.3
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an283-mrmg-b.wav,RUBOUT M D M T G NINE SIX SEVEN OH,5.0
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an284-mrmg-b.wav,ENTER SIX,1.5
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an285-mrmg-b.wav,RUBOUT N A F K V THIRTY,3.5
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an286-mema-b.wav,REPEAT,1.1
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an287-mema-b.wav,R H H U F TWO,2.5
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an288-mema-b.wav,STOP,0.9
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an289-mema-b.wav,ENTER NINE EIGHT NINE,1.7
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an29-mdxs-b.wav,REPEAT,1.1
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an290-mema-b.wav,N G N N THREE NINE NINE,2.6
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an291-ffmm-b.wav,ENTER FIVE,1.5
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an292-ffmm-b.wav,ENTER SEVENTY EIGHT,1.7
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an293-ffmm-b.wav,K L M U FIVE TWO SEVEN FOUR,3.4
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an294-ffmm-b.wav,H B G L SEVENTY SEVEN,2.7
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an295-ffmm-b.wav,V A D R THIRTY ONE OH SEVEN,2.9
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an296-fsaf2-b.wav,V Q D B FORTY NINE HUNDRED,2.9
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an298-fsaf2-b.wav,REPEAT,1.0
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an3-mblw-b.wav,ENTER SIXTY,1.3
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an30-mdxs-b.wav,NO,1.0
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an301-mtcv-b.wav,RUBOUT U T D A TWO,3.8
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an302-mtcv-b.wav,RUBOUT M V O O FORTY SIX,4.1
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an304-mtcv-b.wav,STOP,1.0
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an305-mtcv-b.wav,ENTER EIGHT ZERO SIX,2.3
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an311-fkai-b.wav,ERASE I S L F THIRTY EIGHT,3.1
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an312-fkai-b.wav,ERASE Z Y G N P EIGHT HUNDRED AND TWENTY THREE,3.9
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an314-fkai-b.wav,A M S J SEVEN THOUSAND ONE HUNDRED AND EIGHTY SIX,3.7
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an315-fkai-b.wav,ENTER FIFTY ONE,2.0
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an316-mkdb-b.wav,D S K U FOUR FIVE OH FIVE,3.1
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an317-mkdb-b.wav,ENTER SEVEN,1.4
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an318-mkdb-b.wav,ENTER FOUR,1.3
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an319-mkdb-b.wav,RUBOUT R Z R V Z NINETY EIGHT,3.5
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an32-mtje-b.wav,YES,1.0
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an320-mkdb-b.wav,E Z A K O EIGHT,2.4
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an321-mmal-b.wav,M M V Q D ONE EIGHT SEVEN,3.0
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an322-mmal-b.wav,RUBOUT T B P B SIX,3.3
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an323-mmal-b.wav,ENTER TWO OH FIVE,2.0
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an324-mmal-b.wav,YES,1.0
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an325-mmal-b.wav,GO,0.9
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an326-ftal-b.wav,STOP,1.2
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an327-ftal-b.wav,ENTER SEVEN SEVEN,1.6
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an329-ftal-b.wav,B Y V M EIGHT FOUR,2.4
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an33-mtje-b.wav,ERASE F H B K Z SIXTY NINE,4.0
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an330-ftal-b.wav,ENTER TWO SIX,1.7
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an331-msrb-b.wav,ENTER NINE,1.8
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an332-msrb-b.wav,RUBOUT G J H G V SEVEN,3.7
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an333-msrb-b.wav,YES,1.0
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an334-msrb-b.wav,N N P U FIVE,2.2
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an335-msrb-b.wav,ENTER SEVEN,1.4
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an336-mmdg-b.wav,G A B H TWO,3.1
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an337-mmdg-b.wav,HELP,1.2
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an338-mmdg-b.wav,ENTER SIX ONE TWO FIVE,3.2
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an339-mmdg-b.wav,ENTER TWO FIVE FOUR SIX,3.5
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an34-mtje-b.wav,YES,1.1
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an340-mmdg-b.wav,YES,1.3
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an341-msct-b.wav,YES,1.0
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an343-msct-b.wav,ENTER TWENTY NINE,1.9
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an344-msct-b.wav,ERASE A L H N C THIRTY FIVE,4.0
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an345-msct-b.wav,ERASE V Y W L R SEVEN ZERO ONE ONE,5.7
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an346-mnfe-b.wav,ERASE O T E B SEVENTY NINE,4.2
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an347-mnfe-b.wav,HELP,0.9
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an348-mnfe-b.wav,ENTER EIGHT TWENTY SEVEN,2.3
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an349-mnfe-b.wav,RUBOUT R R N A A NINETY FOUR,4.6
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an35-mtje-b.wav,H Z A E THREE SEVEN FIVE ONE,4.1
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an350-mnfe-b.wav,ENTER THREE,1.4
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an351-msjr-b.wav,J H B X THREE ZERO,2.8
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an352-msjr-b.wav,ENTER TWO,1.3
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an353-msjr-b.wav,NO,0.8
